IDVENTA,IDCLIENTE,CANTAFICHES,ARCHIVO,ZONA,ESTADO
174,55,19,convallisEget.gif,2,0
175,49,9,dapibusDolorVel.png,3,0
176,79,5,miInPorttitor.gif,2,1
177,29,8,molestie.png,1,1
178,57,1,morbi.jpeg,1,1
179,36,3,tortorId.tiff,3,1
180,89,18,nonSodales.gif,2,1
181,91,6,leoRhoncus.jpeg,3,0
182,12,2,aliquetAt.tiff,3,1
183,84,13,luctusCumSociis.png,3,1
184,17,15,volutpat.gif,3,0
185,50,6,nislAeneanLectus.gif,3,1
186,3,13,loremIpsumDolor.png,3,1
187,93,12,consequat.png,3,0
188,73,5,inFelis.tiff,1,0
189,65,8,cum.jpeg,2,0
190,48,8,necCondimentumNeque.jpeg,1,0
191,41,11,commodo.tiff,2,0
192,71,1,pellentesque.tiff,1,0
193,59,12,pretiumQuisLectus.gif,3,0
194,1,16,et.jpeg,2,0
195,38,15,augue.tiff,1,0
196,95,5,vel.tiff,2,1
197,37,3,nascetur.jpeg,2,1
198,16,5,orciNullamMolestie.tiff,2,1
199,23,5,phasellus.tiff,1,0
200,37,19,elit.jpeg,3,1
201,100,500,gewge,3,0
202,100,435,ewfwef,2,1
